cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10
RNASE1,IGSF1,AATK,PHETA1,HSDL2,HARS2,OARD1,ZNF346-IT1,PTK7,MGST1
RPGRIP1,UROC1,SLC38A10,TRAFD1,ALAD,ZMAT2,TREML2,TMED9,POLR1C,RASSF8-AS1
SLC7A7,PI15,NPLOC4,OAS3,RGS3,TAF7,MRPS10,B4GALT7,XPO5,RASSF8
MMP14,XAGE1B,METRNL,OAS2,ATP6V1G1,HDAC3,PPP2R5D,ZNF354B,HSP90AB1,ARNTL2
REM2,PCDHA9,RAB12,TPCN1,1-Dec,YIPF5,MEA1,ZNF354C,AARS2,SMCO2
ADCY4,C5orf66-AS1,RAB31,SLC8B1,FBXW2,CSNK1A1,CUL7,MRNIP,CENPQ,DDX11-AS1
ERO1A,NEUROG1,RIOK3,SDS,GOLGA1,RBM22,KLC4,RACK1,KLHL31,DDX11
BMP4,SLC22A3,NPC1,MAP1LC3B2,PPP6C,DCTN4,MRPS18A,TRIM52-AS1,LRRC1,DENND5B
SAMD4A,,MBD2,WSB2,GAPVD1,FAM114A2,MRPL14,WRNIP1,DST,KIF21A
LGALS3,,ALPK2,CAMKK2,CFAP157,MFAP3,CDC5L,SERPINB6,BEND6,TMEM106C
RTN1,,MALT1,CLIP1,TOR2A,SAP30L-AS1,RUNX2,BPHL,BAG2,DDN
PLEKHG3,,ZNF516,NCOR2,NAIF1,MED7,ENPP4,FAM50B,KCNQ5-AS1,TUBA1B
ZFP36L1,,C18orf65,UBC,GPR107,UBLCP1,SLC25A27,ECI2,KHDC1,RACGAP1
FOS,,ARID3A,SLC15A4,FUBP3,PWWP2A,MMUT,ERVFRD-1,IRAK1BP1,SCN8A
FLVCR2,,GRIN3B,STX2,MED22,SLU7,C6orf141,SIRT5,SH3BGRL2,CBX5
VASH1,,ARHGAP45,ULK1,SURF1,MAT2B,CRISP3,NOL7,BCKDHB,GTSF1
TMEM63C,,SBNO2,CHFR,UBAC1,PANK3,TRAM2-AS1,MCUR1,UBE3D,PMEL
GPR65,,MIDN,SPATA13,TMEM250,FBXW11,GSTA4,NHLRC1,NT5E,CDK2
SLC24A4,,CIRBP-AS1,UBL3,SEC16A,UBTD2,GCLC,CASC15,SYNCRIP,ERBB3
ITPK1,,MOB3A,LACC1,NOTCH1,ERGIC1,FAM83B,MRS2,SNHG5,PA2G4
SERPINA1,,OAZ1,SLC25A30-AS1,ANAPC2,KIAA1191,ZNF451-AS1,ACOT13,ORC3,TIMELESS
WARS,,GADD45B,CPB2-AS1,NOXA1,UIMC1,KHDRBS2,HIST1H1E,RRAGD,PRIM1
BEGAIN,,GNA11,ITM2B,LARP4B,NSD1,SDHAF4,HIST1H2AD,MDN1,HSD17B6
TNFAIP2,,ZBTB7A,NEK3,IDI1,LMAN2,COX7A2,HIST1H4F,CASP8AP2,NEMP1
GPR132,,TNFSF14,TBC1D4,OPTN,PRR7,FILIP1,HIST1H2BH,GPR63,SHMT2
NUDT14,,ADGRE1,RAP2A,PIP4K2A,DDX41,ZNF292,ZNF391,NDUFAF4,CDK4
CRIP1,,MCOLN1,STK24,MSRB2,CLK4,LYRM2,HIST1H3H,HACE1,CYP27B1
GOLGA8M-1,,MYO1F,STK24-AS1,APBB1IP,ZNF879,PNISR,HIST1H2BN,QRSL1,METTL1
FMN1,,ICAM1,ABHD13,ABI1,RUFY1,USP45,ZNF165,CD24,GIHCG
SPRED1,,ZGLP1,RAB20,ACBD5,CANX,TSTD3,ZKSCAN8,AFG1L,AVPR1A
THBS1,,TYK2,ING1,RAB18,MGAT4B,MTRES1,ZSCAN9,CEP57L1,DPY19L2
GCHFR,,CDKN2D,ATP11A-AS1,WAC,TBC1D9B,SCML4,ZSCAN26,PPIL6,XPOT
SPINT1,,LDLR,LAMP1,KIF5B,MAPK9,SESN1,ZKSCAN3,WASF1,MSRB3
EHD4,,RAB3D,TMEM255B,ERCC6,CNOT6,SMPD2,ZSCAN12,SLC22A16,YEATS4
CAPN3,,JUNB,RASA3,SIRT1,BTNL9,RSPH4A,ZNRD1,RPF2,E2F7
SERINC4,,PRKACA,TEP1,HERC4,TRIM41,GOPC,TRIM10,SLC16A10,LRRIQ1
C15orf48,,KLF2,OR10G3,PBLD,TRIM52,GJA1,HCG17,HDAC2,C12orf29
DMXL2,,ANO8,PRMT5-AS1,SLC25A16,EXOC2,TPD52L1,HCG18,TSPYL4,SNRPF
RAB27A,,SLC27A1,ZFHX2-AS1,SLC29A3,RIPK1,TMEM200A,GNL1,MAN1A1,TMPO-AS1
ALDH1A2,,NUDT19,CIDEB,DNAJB12,PXDC1,HBS1L,PRR3,TBC1D32,DEPDC4
AQP9,,ETV2,RIPK3,P4HA1,CDYL,WAKMAR2,ABCF1,HSF2,UTP20
MYO1E,,IGFLR1,HEATR5A,FAM149B1,RREB1,PERP,MRPS18B,RNF217-AS1,PARPBP
ANXA2,,TYROBP,BAZ1A,MSS51,CAGE1,ARFGEF3,ATAT1,TRMT11,HELLPAR
USP3,,KCNK6,NFKBIA,PPP3CB,C6orf52,GVQW2,GTF2H4,PTPRK,NT5DC3
CALML4,,RASGRP4,ARF6,PPP3CB-AS1,HIVEP1,ECT2L,NCR3,CTAGE9,HSP90B1
PKM,,PLD3,SOS2,FUT11,TBC1D7,TXLNB,PRRC2A,RPS12,UNG
NPTN,,SERTAD3,PTGER2,VCL,JARID2,PPIL4,APOM,SLC2A12,MMAB
SNX33,,PVR,GMFB,DLG5,DTNBP1,PLEKHG1,LY6G6C,BCLAF1,FAM222A
PSTPIP1,,CEACAM19,SLC38A6,ANXA11,E2F3,RMND1,VWA7,PEX7,RFC5
CTSH,,APOE,HIF1A-AS3,GHITM,HIST1H3A,ESR1,LSM2,ADAT2,CIT
AP3B2,,RELB,ZFYVE26,PTEN,HIST1H4B,MYCT1,SNHG32,PEX3,KNTC1
PDE8A,,FOSB,PCNX1,CH25H,HIST1H1C,RGS17,CUTA,LTV1,TCTN2
ARPIN,,PPM1N,AREL1,IFIT3,HIST1H1T,SYNJ2,ZBTB9,PLAGL1,BRI3BP
IQGAP1,,VASP,JDP2,IFIT1,HIST1H2AC,MRPL18,RPS10-NUDT3,EPM2A,RAN
RGMA,,EML2-AS1,IRF2BPL,IFIT5,HIST1H4E,PACRG,RNF8,RAB32,PUS1
SPATA41,,PTGIR,SEL1L,AVPI1,HIST1H2BG,CCR6,CMTR1,STXBP5-AS1,POLE
EME2,,AP2S1,GALC,R3HCC1L,HIST1H2AE,PSMB1,TOMM6,STXBP5,PXMP2
BRICD5,,BBC3,CALM1,PYROXD2,HIST1H4H,TBP,C6orf132,NUP43,PGAM5
MMP25,,PLA2G4C,CCDC88C,HPS1,BTN3A2,C7orf50,TBCC,CNKSR3,IL17D
MEFV,,EMP3,DICER1,ABCC2,HMGN4,GPR146,RPL7L1,ARID1B,SKA3
ADCY9,,SULT2B1,RCOR1,CWF19L1,ABT1,INTS1,KLHDC3,ACAT2,SACS
EMP2,,CA11,TRAF3,OGA,ZNF322,PSMG3-AS1,MRPL2,TCP1,MIPEP
CPPED1,,TULP2,PPP1R13B,KCNIP2,HIST1H2BK,MRM2,DLK2,PNLDC1,PCOTH
NPIPA3,,CPT1C,BTBD6,ARMH3,HIST1H4L,BRAT1,POLH,FGFR1OP,CENPJ
ABCC6,,AP2A1,CRIP2,GBF1,ZSCAN16-AS1,AMZ1,CAPN11,WDR27,GPR12
SYT17,,JOSD2,CYFIP1,PSD,ZSCAN16,CARD11,SLC35B2,PRKAR1B,MTUS2
IGSF6,,VSIG10L,MTMR10,ACTR1A,TRIM27,SDK1,SUPT3H,MAFK,SLC7A1
OTOA,,MYADM,NOP10,BORCS7,RPP21,EIF2AK1,ENPP5,PSMG3,HMGB1
IL4R,,CACNG8,PLCB2,ADD3-AS1,PPP1R10,ZDHHC4,CD2AP,EIF3B,B3GLCT
IL27,,OSCAR,SPINT1-AS1,MXI1,C6orf136,NDUFA4,EFHC1,FSCN1,BRCA2
NUPR1,,KIR2DL4,PLA2G4B,SMNDC1,DHX16,AGR2,KIAA1586,AIMP2,RFC3
KIF22,,PPP1R12C,ELL3,DUSP5,NFKBIL1,SP4,ZNF451,ZNF853,SOHLH2
HSD3B7,,TMEM150B,HYPK,BBIP1,LTA,NUP42,EYS,GLCCI1,CCDC169
STX1B,,COX6B2,B2M,SHOC2,BAG6,IGF2BP3,EEF1A1,PHF14,SPART-AS1
ITGAM,,EPN1,TRIM69,VTI1A,LY6G5C,KIAA0087,CD109,THSD7A,CCNA1
ITGAX,,SRXN1,DUOX2,CASP7,CLIC1,HOXA2,HMGN3,CRPPA,EXOSC8
AHSP,,RASSF2,TMOD2,CCDC186,SKIV2L,HOXA10-AS,HMGN3-AS1,ANKMY2,SLC25A15
NETO2,,TMX4,CCPG1,CACUL1,STK19,HIBADH,LCA5,BZW2,NUDT15
NOD2,,KIF16B,RNF111,LHPP,ATF6B,SCRN1,PGM3,TWISTNB,DIAPH3
MT2A,,GZF1,BNIP2,FAM53B,AGPAT1,SEPTIN7,SMIM8,ITGB8,SPRY2
HERPUD1,,TTLL9,TPM1,CTBP2,RNF5,SFRP4,CCNC,DNAH11,MIR17HG
NLRC5,,HCK,RAB8B,BNIP3,HLA-DRB5,TRGV6,ASCC3,RAPGEF5,GPC6
CMTM4,,PLAGL2,APH1B,STK32C,HLA-DRB1,TRG-AS1,RTN4IP1,KLHL7-DT,ABCC4
RRAD,,CHMP4B,SNX1,TUBGCP2,HLA-DQA1,TRGV5P,SEC63,FAM221A,CLDN10
CES4A,,SPAG4,OAZ2,SIGIRR,HLA-DMA,RALA,ARMC2,STK31,IPO5
EXOC3L1,,TLDC2,ANKDD1A,TMEM80,HLA-DPB1,MPLKIP,AK9,MPP6,FGF14-AS2
TPPP3,,ZNF335,PIAS1,TSPAN4,RXRB,INHBA,DDO,CYCS,TFDP1
ZDHHC1,,CD40,FEM1B,AP2A2,SLC39A7,MRPS24,AMD1,CBX3,CDH24
AGRP,,B4GALT5,GLCE,C11orf21,VPS52,URGCP,GTF3C6,ELMO1-AS1,IPO4
CTRL,,SLC9A8,PAQR5,CDKN1C,RGL2,SPDYE1,REV3L,EPDR1,COCH
SNTB2,,ZNF217,ADPGK,CARS,PHF1,SUN3,TRAF3IP2-AS1,TRGC1,LRR1
PHLPP2,,FAM209A,NPTN-IT1,STIM1,BAK1,SPATA48,TRAF3IP2,COA1,POLE2
HP,,FAM209B,CSK,TRIM22,NUDT3,COBL,TUBE1,AEBP1,L2HGDH
LDHD,,PMEPA1,C15orf39,ILK,ILRUN,SEC61G,FAM229B,TBRG4,WDHD1
OSGIN1,,NPEPL1,NEIL1,TAF10,ANKS1A,DNAJC30,NT5DC1,GRB10,DACT1
DNAAF1,,SYCP2,PTPN9,AMPD3,DEF6,ELN,TSPYL1,LANCL2,MTHFD1
COTL1,,OGFR,ST20-AS1,EIF4G2,PXT1,EIF4H,KPNA5,ZNF713,PLEK2
CRISPLD2,,HELZ2,TLNRD1,PIK3C2A,KCTD20,GTF2IRD2,ASF1A,MRPS17,ACTN1-AS1
IRF8,,TPD52L2,ZNF592,TSG101,NFYA,GTF2IRD2B,FAM184A,CCT6A,RPS6KL1
MYO1C,,SAMSN1,AKAP13,LIN7C,USP49,SPDYE5,HDDC2,SUMF2,POMT2
SLC43A2,,USP25,SEMA4B,LMO2,MED20,HSPB1,NCOA7,PHKG1,CEP128
MIR22HG,,BACH1,CRTC3,CD44,TAF8,POMZP3,EPB41L2,CHCHD2,EFCAB11
CAMKK1,,BACH1-IT1,FURIN,TRIM44,GUCA1B,APTR,CCN2,ZNF727,IFI27L1
CXCL16,,BACH1-IT2,FAM174B,COMMD9,PEX6,RSBN1L,MAP7,ZNF736,VRK1
ZMYND15,,BACH1-IT3,RGS11,ARHGAP1,RRP36,MAGI2,HIVEP2,ZNF107,XRCC3
VMO1,,SYNJ1,TMEM8A,YPEL4,CUL9,MAGI2-AS3,HYMAI,ZNF273,SIVA1
GLTPD2,,IL10RB,ABCA3,ZDHHC5,TJAP1,SEMA3A,SF3B5,ZNF92,PLD4
PLD2,,ITSN1,AMDHD2,CTNND1,YIPF3,TP53TG1,SHPRH,CT66,CDCA4
C17orf107,,CSTB,PDPK1,LPXN,MAD2L1BP,ABCB1,TFB1M,AUTS2,TUBGCP5
INCA1,,GGT1-1,CREBBP,CYB561A3,TNFRSF21,RUNDC3B,ZDHHC14,BAZ1B,GOLGA8S
KIF1C,,GRK3,CORO7,FADS3,PHF3,MTERF1,MAS1,CASTOR2,SNHG14
SCIMP,,SEZ6L,ROGDI,EML3,FAM135A,CYP51A1,MAP3K4,RCC1L,GOLGA8M
NLRP1,,ASPHD2,NAGPA,SLC3A2,SMAP1,LRRD1,PRKN,TRIM73,APBA2
CLEC10A,,KREMEN1,METTL22,PLAAT4,B3GAT2,KRIT1,RPS6KA2,SPDYE16,GOLGA8J
ASGR2,,GAS2L1,USP7,OTUB1,OOEP,RBM48,ERMARD,ADAM22,ARHGAP11B
ASGR1,,MTMR3,C16orf72,FERMT3,SENP6,SGCE,DLL1,CLDN12,OTUD7A
CD68,,TCN2,TXNDC11,PRDX5,PHIP,SEM1,PDCD2,CDK6,GOLGA8K
GUCY2D,,SLC35E4,NTAN1,RPS6KA4,IBTK,BAIAP2L1,PDGFA,CASD1,GOLGA8N
ALOX15B,,MYH9,BMERB1,FRMD8,TPBG,PTCD1,TMEM184A,SDHAF3,ARHGAP11A
GAS7,,CSF2RB,ITPRIPL2,MALAT1,DOP1A,ATP5MF,NUDT1,ASNS,BUB1B
ADORA2B,,KCTD17,PRKCB,FAM89B,CEP162,FAM200A,CHST12,CPSF4,PAK6
EPN2,,MAFF,NPIPB7,RELA,GJB7,CYP3A5,FOXK1,GPC2,RAD51
RNF112,,CBX6,CLN3,CFL1,C6orf163,ZSCAN21,RADIL,STAG3,OIP5
ALDH3A2,,CBX7,GDPD3,EFEMP2,RARS2,COPS6,PMS2,SPDYE3,NUSAP1
SLC46A1,,DESI1,MAPK3,EIF1AD,RNGTT,TAF6,USP42,PILRB,ITPKA
CPD,,FAM118A,PRSS53,KDM2A,MAP3K7,MBLAC1,ICA1,AGFG2,LTK
ADAP2,,PLXNB2,ZNF267,POLD4,MANEA-DT,C7orf61,TMEM106B,TFR2,CDAN1
OMG,,SCO2,TENT4B,PPP1CA,MANEA,UFSP1,VWDE,POP7,WDR76
EVI2B,,SYCE3,RBL2,STARD10,UFL1,AP1S1,TSPAN13,SRRT,DUT
EVI2A,,CPT1B,AKTIP,FAM168A,FBXL4,CLDN15,MACC1,LRWD1,CEP152
RHBDL3,,MAPK8IP2,AMFR,ARRB1,PREP,FIS1,MALSU1,FAM185A,FGF7
CCL2,,CSF2RA,KIFC3,PCF11,ATG5,PSMC2,TRA2A,FBXL13,ATP8B4
CCL3,,CLCN4,ZNF319,PRSS23,PDSS2,DLD,OSBPL3,DNAJC2,SLC27A2
CCL4,,MOSPD2,SLC38A7,BIRC2,CD164,SMIM30,HNRNPA2B1,RINT1,MNS1
CCL4L2,,PIGA,CDH5,SIK2,ZBTB24,CFTR,HOXA-AS3,DUS4L,TLN2
PCGF2,,CA5B,TK2,SDHD,CDK19,NDUFA5,HOXA6,IMMP2L,PCLAF
NAGS,,GRPR,DYNC1LI2,PTS,MFSD4B,POT1-AS1,HOXA7,FOXP2,TIPIN
GRN,,CDKL5,HSF4,RBM7,CALHM6,TMEM209,HOXA10,AASS,ZWILCH
FZD2,,SH3KBP1,ELMO3,APOA1-AS,RWDD1,PLXNA4,PRR15,SND1-IT1,SKOR1
COPZ2,,SAT1,SLC12A4,SIK3,ZUP1,SLC13A4,MTURN,RBM28,CLN6
HOXB7,,GK-IT1,DPEP2,PAFAH1B2,MCM9,ADCK2,NOD1,KCP,ITGA11
GNGT2,,MID1IP1,DUS2,CEP164,RNF217,TRBVB,GARS,SMO,KIF23
ABI3,,GPR34,PLA2G15,FXYD2,ARHGAP18,TRBV27,NT5C3A,CEP41,LRRC49
DLX4,,MAOA,NQO1,ARCN1,AKAP7,TRBV28,RP9,MESTIT1,THAP10
ABCC3,,TIMP1,NPIPB15,BCL9L,MED23,PRSS2,ELMO1,MEST,CRABP1
TOB1,,CFP,GLG1,VPS11,TBPL1,TRBC1,TRGV9,CHCHD3,ADAMTS7
SCPEP1,,TFE3,MLKL,TBCEL,PDE7B,TRBC2,YAE1,SLC35B4,RASGRF1
CUEDC1,,IQSEC2,MON1B,VWA5A,CCDC28A,GHET1,PSMA2,AGBL3,ABHD17C
SEPTIN4,,MTRNR2L10,HSDL1,FAM118B,REPS1,ZNF425,MRPL32,TRIM24,RPS17
TEX14,,STARD8,MEAK7,SENCR,ABRACL,ZNF212,STK17A,SVOPL,FSD2
VMP1,,RTL5,MAP1LC3B,PRDM10,CITED2,ZNF783,NUDCD3,ZC3HAV1L,NMB
TEX2,,ACSL4,CYBA,SNX19,VTA1,ATP6V0E2,DDX56,LUC7L2,KLHL25
PRKCA,,RTL8C,RNF166,KDM5A,SUMO4,ABCB8,SNHG15,AGK,NTRK3
ARSG,,SLC9A6,CRK,FBXL14,GINM1,TMUB1,ZNF680,DENND11,FANCI
SLC16A6,,ZFY-AS1,INPP5K,TNFRSF1A,KATNA1,MNX1,ZNF138,TRBV20-1,TICRR
KCNJ2-AS1,,UTS2,PITPNA,VAMP1,SCAF8,MNX1-AS2,ZNF117,CASP2,MESP1
KCNJ2,,ST3GAL5-AS1,MNT,ZNF384,TIAM2,ZNF596,VKORC1L1,TCAF1,IDH2
CDC42EP4,,GRM6,TAX1BP3,COPS7A,TMEM242,DLGAP2,TYW1,ARHGEF35,BLM
CD300LB,,SCAT8,ZZEF1,PTMS,GTF2H5,ANGPT2,POM121,OR2A1-AS1,RCCD1
CD300C,,C8orf31,ANKFY1,LPCAT3,TMEM181,FAM66B,BUD23,ARHGEF5,PRC1
CD300E,,FRMPD2,ALOX12-AS1,FOXJ2,WTAP,PRAG1,CLIP2,CUL1,PRC1-AS1
GALR2,,TBC1D3L,RNASEK,FAM90A1,TCTE3,TNKS,MDH2,KRBA1,SNRPA1
GAA,,ADORA2A-AS1,DLG4,M6PR,GET4,SLC35G5,GNAI1,ZBED6CL,SNRNP25
CARD14,,FAM87B,KCTD11,LOH12CR2,COX19,FDFT1,CROT,REPIN1,HBA2
SGSH,,SLAMF8,PLSCR3,BORCS5,GNA12,FAM66D,GTPBP10,ABCF2,HBA1
SLC26A11,,PGBD5,SENP3,CDKN1B,RBAK,SH2D4A,AKAP9,ACTR3B,RAB11FIP3
SLC16A3,,HAND2-AS1,SAT2,GSG1,WIPI2,INTS10,PEX1,PAXIP1,METTL26
SECTM1,,ADIRF,KDM6B,ARHGDIB,TNRC18,NUDT18,GNG11,PAXIP1-AS1,WDR90
EMILIN2,,EBI3,NDEL1,EPS8,FBXL18,SORBS3,PON2,RNF32,METRN
EPB41L3,,NCR1,FAM106C,RECQL,RNF216,R3HCC1,PDAP1,NOM1,CCDC78
APCDD1,,FGF13,TOM1L2,GOLT1B,CYTH3,ADAM28,ZNF789,AGPAT5,MSLN
DTNA,,CT45A3,ALKBH5,LRMP,FAM220A,KCTD9,TMEM225B,SOX7,CHTF18
RNF165,,,FLII,KRAS,DAGLB,TRIM35,ZSCAN25,PINX1,TEDC2
LOXHD1,,,TOP3A,FAR2,C7orf26,CCDC25,ZKSCAN1,FAM86B1,PKMYT1
SMAD7,,,SMCR8,PRICKLE1,ZNF12,ELP3,ZNF3,TRMT9B,PAQR4
NEDD4L,,,AKAP10,IRAK4,CCZ1B,INTS9,AP4M1,PSD3,ZNF205
ZNF532,,,MTRNR2L1,TWF1,C1GALT1,INTS9-AS1,GAL3ST4,CSGALNACT1,TRAP1
SERPINB8,,,WSB1,SLC38A2,MIOS,RBPMS,ZCWPW1,BMP1,VASN
PARD6G-AS1,,,KSR1,PRKAG1,UMAD1,UBXN8,PPP1R35,POLR3D,SMIM22
CFD,,,TAOK1,LMBR1L,TOMM7,TTI2,SERPINE1,CLU,PPL
ABCA7,,,RNF135,TUBA1A,KLHL7,ERLIN2,ORAI2,ZNF395,EEF2KMT
PEAK3,,,RAB11FIP4,ATF1,HOXA-AS2,ASH2L,ARMC10,DUSP4,RMI2
PLIN4,,,RHOT1,SLC11A2,PLEKHA8,LSM1,NAPEPLD,FUT10,NPIPA5
PLIN5,,,SLFN11,CSRNP2,BBS9,HTRA4,PMPCB,MAK16,MPV17L
LRG1,,,SLFN12,TFCP2,STARD3NL,SMIM19,ORC5,ADRB3,CCP110
SEMA6B,,,CISD3,POU6F1,TRGV5,POMK,SYPL1,EIF4EBP1,IQCK
TNFSF9,,,LASP1,ATG101,VPS41,UBE2V2,GPR22,DDHD2,ACSM3
C3,,,MSL1,SPRYD3,CDK13,TCEA1,LAMB1,AP3M2,ERI2
INSR,,,RAPGEFL1,CSAD,C7orf25,MRPL15,POT1,ST18,DNAH3
CAMSAP3,,,WIPF2,PFDN5,UBE2D4,CHCHD7,SND1,RPS20,EARS2
STXBP2,,,RARA-AS1,PCBP2,POLM,CA8,METTL2B,CYP7B1,EIF3CL
MCEMP1,,,RAB5C,MAP3K12,TMED4,PDE7A,TSPAN33,RRS1,ATP2A1-AS1
FCER2,,,HCRT,ATF7,PURB,COPS5,ZC3HC1,SNHG6,SEZ6L2
TGFBR3L,,,MLX,CALCOCO1,CCM2,LACTB2-AS1,CYREN,CSPP1,HIRIP3
PDE4A,,,RETREG3,SMUG1,IKZF1,XKR9,CREB3L2,CPA6,DCTPP1
C19orf38,,,RAMP2-AS1,COPZ1,ERV3-1,TERF1,FMC1,RPL7,CCDC189
PLPPR2,,,BECN1,ITGA5,GUSB,ELOC,NDUFB2-AS1,CRISPLD1,ARMC5
EPOR,,,NBR1,ORMDL2,CRCP,IMPA1,BRAF,TPD52,ORC6
CCDC151,,,TMUB2,RAB5B,TYW1B,SLC10A5,WEE2-AS1,TMEM64,GPT2
ADGRE3,,,ATXN7L3,ZC3H10,BCL7B,CHMP4C,TAS2R4,C8orf88,NKD1
CYP4F3,,,HEXIM1,RNF41,TBL2,RBIS,EPHB6,FAM92A,HNRNPA1P48
TMEM38A,,,MAP3K14,BAZ2A,LAT2,CA13,ZNF282,TMEM67,RPGRIP1L
CPAMD8,,,PLEKHM1,RDH16,GTF2I,CA3,ZNF777,DPY19L4,FTO
COLGALT1,,,NSF,MYO1A,POM121C,RMDN1,ACTR3C,NDUFAF6,IRX3
MAST3,,,SNX11,LRP1-AS,STYXL1,CNBD1,LRRC61,TSPYL5,CRNDE
IFI30,,,HOXB6,R3HDM2,CCDC146,MMP16,ZNF775,RIDA,GINS3
LRRC25,,,FLJ45513,ARHGAP9,SEMA3E,NECAB1,MNX1-AS1,POP1,NAE1
HOMER3,,,PCTP,CTDSP2,DMTF1,VIRMA,DNAJB6,SLC25A32,ENKD1
TSHZ3,,,CLTC,MON2,SRI,C8orf37-AS1,ESYT2,NUDCD1,UTP4
PEPD,,,ERN1,TBK1,ANKIB1,UQCRB,WDR60,DEPTOR,PDF
KCTD15,,,PECAM1,TMBIM4,GATAD1,PTDSS1,MYOM2,TMEM65,MTSS2
FXYD1,,,GNA13,TMEM19,BET1,MATN2,MCPH1,ZNF572,DHODH
FFAR2,,,TTYH2,RAB21,SLC25A13,COX6C,MCPH1-AS1,LRATD2,RFWD3
RYR1,,,GRIN2C,GLIPR1,TRRAP,POLR2K,ERI1,MYC,TMEM231
ZFP36,,,GGA3,ZDHHC17,ZNF394,SPAG1,NEIL2,PEG13,CENPN
PLEKHG2,,,GRB2,TMTC2,ZKSCAN5,CTHRC1,MICU3,THEM6,GCSH
BLVRB,,,WBP2,GALNT4,TRIM4,RIMS2,ZDHHC2,ZFP41,WFDC1
POU2F2,,,ACOX1,FGD6,CNPY4,DCSTAMP,CNOT7,RHPN1-AS1,GINS2
CADM4,,,RHBDF2,ELK3,CASTOR3,TMEM74,PCM1,RHPN1,SLC7A5
PLAUR,,,JMJD6,ANKS1B,MEPCE,EIF3H,NPM2,SCRIB,CDT1
DACT3,,,MFSD11,SCYL2,TSC22D4,RAD21,FGF17,CPSF1,CPNE7
C5AR1,,,SEC14L1,CHPT1,FBXO24,ENPP2,DMTN,SLC39A4,VPS9D1-AS1
C5AR2,,,SEPTIN9,HCFC2,TRIM56,TAF2,PIWIL2,MFSD3,FANCA
GRIN2D,,,CYTH1,SLC41A2,ZNHIT1,ZHX2,MBOAT4,LRRC14,DOC2B
FTL,,,BAIAP2,PRDM4,CUX1,ZHX1,RBPMS-AS1,C8orf33,C17orf97
TRPM4,,,HGS,ISCU,PRKRIP1,WDYHV1,BRF2,FOXD4,TLCD3A
FCGRT,,,ARHGDIA,SSH1,ALKBH4,PTP4A3,PLPP5,SMARCA2,GEMIN4
RCN3,,,SIRT7,UBE3B,POLR2J,JRK,VDAC3,PUM3,RPA1
RRAS,,,COLEC12,GIT2,RASA4B,LY6K,SLC20A2,RFX3-AS1,SRR
IL4I1,,,SMCHD1,ATP2A2,RASA4,LY6E-DT,TMEM68,SPATA6L,CLUH
SIGLEC11,,,MYOM1,PPP1CC,KMT2E,GLI4,TGS1,AK3,HASPIN
KCNC3,,,MYL12A,MED13L,CCDC71L,MINCR,TOX,RCL1,MYBBP1A
SIGLEC9,,,GNAL,C12orf49,COG5,EEF1D,ARMC1,ERMP1,USP6
SIGLEC7,,,CHMP1B,SETD1B,SLC26A4-AS1,IQANK1,STAU2,UHRF2,C1QBP
SIGLEC10,,,CHMP1B-AS1,PSMD9,CBLL1,PUF60,PKIA,DMAC1,TP53
SIGLEC5,,,MPPE1,DIABLO,THAP5,EPPK1,IL7,CCDC171,NAA38
SIGLEC14,,,PTPN2,VPS33A,ZNF277,TMEM249,MRPS28,SAXO1,AURKB
FPR1,,,ABHD3,RILPL2,TMEM168,SLC52A2,ZFAND1,RPS6,PFAS
FPR2,,,CABYR,RILPL1,FAM3C,PPP1R16A,E2F5,MTAP,RNF222
NLRP12,,,DSC2,PIWIL1,KLHDC10,GPT,OTUD6B,IFT74,USP43
TMC4,,,MOCOS,CRYL1,EXOC4,ZNF517,RBM12B,NDUFB6,HS3ST3B1
LILRB3,,,C18orf32,NUP58,BPGM,ZNF16,C8orf37,AQP3,CDRT4
LILRA6,,,WDR7,USP12-AS2,CALD1,CD274,MTERF3,NOL6,TVP23C
LILRB2,,,SEC11C,URAD,CNOT4,PTPRD,LAPTM4B,ANKRD18B,CENPV
LILRA5,,,CCBE1,FLT1,ZC3HAV1,MLLT3,RPL30,UBAP2,LRRC75A
LILRA4,,,TNFRSF11A,FRY-AS1,UBN2,TUSC1,ANKRD46,MYORG,PLD6
LILRA2,,,ZCCHC2,N4BP2L1,NDUFB2,SMIM27,NCALD,STOML2,LLGL1
LILRA1,,,SLC66A2,N4BP2L2-IT2,GSTK1,APTX,BAALC-AS2,UNC13B,SHMT1
LILRB1,,,MIER2,KBTBD7,ZNF786,NFX1,BAALC,GNE,FAM106A
LILRB4,,,HCN2,DGKH,ZNF398,PRSS3,BAALC-AS1,ZBTB5,TMEM97
FCAR,,,FSTL3,EPSTI1,ZNF862,NUDT2,FZD6,POLR1E,SPAG5
TNNT1,,,ADAT3,RB1,FASTK,RPP25L,DCAF13,ZNF658,TLCD1
PTPRH,,,MKNK2,RCBTB2,NUB1,GALT,LRP12,ANKRD20A1,ANKRD13B
SIRPB2,,,IZUMO4,CYSLTR2,PRKAG2-AS1,VCP,ANGPT1,PIP5K1B,ATAD5
SIRPB1,,,TICAM1,CAB39L,PAXIP1-AS2,CD72,EIF3E,MAMDC2-AS1,NLE1
SIRPA,,,GPR108,PHF11,LMBR1,SIT1,EBAG9,ABHD17B,SLFN13
