cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10
F5,CD8B,FAM49A,PPP2R5A,HIST2H2AA4,MYSM1,NEGR1,RPAP2,TSPAN2,PLEKHA6
SOAT1,RFX8,HS1BP3,ZC3H11B,VPS45,TM2D1,ERICH3,MTF2,TTF2,NUCKS1
QSOX1,THORLNC,SLC35F6,HLX,PLEKHO1,ATG4C,CRYZ,FNBP1L,WDR3,DTL
NPL,TANC1,MAPRE3,BROX,APH1A,LEPR,GIPC2,DNTTIP2,WARS2,PTPN14
NCF2,AOX1,ABHD1,LGALS8,CERS2,MIER1,TTLL7,AGL,WARS2-AS1,CENPF
RGL1,RUFY4,PLB1,LGALS8-AS1,MINDY1,ANKRD13C,TTLL7-IT1,TRMT13,CHD1L,DNAH14
RGS2,TUBA4A,RMDN2,AKT3,TNFAIP8L2,USP33,LPAR3,DPH5,ACP6,LIN9
CAMSAP2,CHPF,SLC8A1-AS1,KIDINS220,SCNM1,MIGA1,WDR63,GSTM2,HIST2H2AC,C1orf198
SHISA4,AP1S3,EML4,ODC1-DT,PI4KB,DNAJB4,GBP4,LAMTOR5-AS1,HIST2H2AB,MAP3K21
RNPEP,SLC16A14,RHOQ,LAPTM4A-DT,SLC39A1,IFI44,LRRC8C-DT,WDR77,MRPS21,FH
ELF3,B3GNT7,TTC7A,NCOA1,TPM3,C1orf52,BTBD8,ST7L,LYSMD1,EXO1
PPFIA4,NMUR1,PLEK,RAB10,ADAR,SELENOF,CCDC18-AS1,MOV10,THEM4,SMYD3-IT1
NUAK2,AGAP1,AAK1,PPP1CB,EFNA4,PKN2-AS1,BCAR3,PHTF1,FLG-AS1,TFB2M
FAM72A,RAB17,MXD1,SPDYA,YY1AP1,PKN2,ABCD3,RSBN1,ILF2,SCCPDH
SRGAP2,HES6,NAGK,CLIP4,SYT11,GTF2B,SLC44A3,AP4B1-AS1,CREB3L4,ZNF695
IL10,LMCD1,TET3,YPEL5,ARHGEF2,KYAT3,CNN3,BCAS2,ATP8B2,SILC1
CR1,CPNE9,CAPG,DHX57,SMG5,GBP5,RTCA-AS1,VANGL1,FDPS,NRIR
LAMB3,ATP2B2,ST3GAL5,CALM2,TMEM79,LRRC8B,CDC14A,REG4,ASH1L-AS1,RNF144A-AS1
G0S2,CAND2,TMEM127,FOXN2,RRNAD1,GCLM,VAV3,GPR89A,UBQLN4,ASAP2
IRF6,PLCD1,INPP4A,REL,ETV3,ALG14,VAV3-AS1,POLR3C,MEX3A,RRM2
SLC30A1,XYLB,RNF149,AFTPH,IFI16,RWDD3,PSMA5,NUDT17,NAXE,ODC1
C1orf115,ACVR2B,IL1R1,RAB1A,NR1I3,SLC35A3,ATXN7L2,RBM8A,GPATCH4,GEN1
1-Mar,MST1,MERTK,ACTR2,ATF6,DBT,GSTM4,BCL9,HDGF,GDF7
TLR5,CDHR4,PAX8-AS1,PCBP1,UHMK1,RTCA,LRIF1,GPR89B,PYHIN1,PFN4
CAPN2,CAMKV,TMEM37,DGUOK-AS1,ALDH9A1,S1PR1,CHI3L2,PPIAL4G,CADM3-AS1,CENPO
CNIH4,MST1R,PTPN18,MOB1A,RCSD1,RNPC3,KCND3,BOLA1,SLAMF6,ADCY3
WDR26,SEMA3F,SPOPL,LBX2-AS1,SLC19A2,PRPF38B,BCL2L15,SV2A,TADA1,SLC5A6
EPHX1,HYAL1,ACVR2A,PCGF1,SELL,CLCC1,SIKE1,TARS2,POU2F1,CAD
HIST3H2BB,SEMA3G,NEB,HK2,VAMP4,CSF1,ATP1A1-AS1,FALEC,SELP,TRIM54
RHOU,SFMBT1,CYTIP,TMSB10,RC3H1,AHCYL1,CD2,GOLPH3L,GORAB-AS1,RBKS
CCSAP,FLNB,CD302,TGOLN2,GPR52,ALX3,PDZK1,SEMA6C,SUCO,GALNT14
SIPA1L2,ACOX2,RBMS1,RETSAT,COP1,KCNC4,CD160,VPS72,PRDX6,TTC27
LYST,PTPRG,GCA,CHMP3,TOR3A,LAMTOR5,RNF115,MRPL9,DARS2,LTBP1
NID1,MAGI1,MAP3K20,TBC1D8-AS1,TOR1AIP1,DENND2D,PRKAB2,TCHH,GAS5,RASGRP3
GPR137B,MAATS1,GPR155,MAP4K4,CEP350,OVGP1,HIST2H4B,RPS27,BRINP2,CDKL4
KIF26B,PLXNA1,STK17B,TMEM87B,XPR1,ATP5PB,SF3B4,UBAP2L,RALGPS2,TMEM178A
NLRP3,PCOLCE2,ANKRD44-IT1,TTL,STX6,WNT2B,PRPF3,FLAD1,FAM20B,LRPPRC
ID2-AS1,P2RY1,FLACC1,SLC20A1,MR1,SLC16A1-AS1,ENSA,TRIM46,ACBD6,MSH6
ID2,RARRES1,NRP2,ACTR3,GLUL,LRIG2-DT,ANXA9,HCN3,LAMC1,CHAC2
KLF11,SERPINI2,KLF7-IT1,RALB,RNASEL,LRIG2,TMOD4,ASH1L-IT1,TSEN15,FAM161A
RHOB,WDR49,FZD5,MAP3K2,PTGS2,MAGI3,POGZ,CCT3,C1orf21,LGALSL
FKBP1B,GPR160,SLC23A3,PLEKHB2,ELF3-AS1,AP4B1,CGN,TSACC,ERVMER61-1,SPRED2
DRC1,MAP3K13,ATG9A,DARS-AS1,KLHL12,HIPK1-AS1,TDRKH,TTC24,UCHL5,MEIS1
OTOF,ETV5,SLC4A3,KYNU,CYB5R1,TRIM33,TDRKH-AS1,SH2D2A,DENND1B,SMYD5
FOSL2,RPL39L,CAB39,CACNB4,ZBED6,CSDE1,S100A2,NTRK1,MIR181A1HG,ALMS1-IT1
NLRC4,ZDHHC19,SAG,ERMN,TMEM81,MAN1A2,CHTOP,SPTA1,IPO9-AS1,BOLA3
QPCT,RGS12,ACKR3,TANK,IKBKE,PEX11B,RAB13,IGSF8,PTPN7,TEKT4
CDC42EP3,EVC2,BHLHE40,GALNT3,CD46,LIX1L,SHE,CD84,KDM5B,ANKRD36C
CYP1B1,EVC,SLC6A6,ABCB11,MIR29B2CHG,POLR3GL,PMVK,TSTD1,PCAT6,ITPRIPL1
CYP1B1-AS1,SEL1L3,EAF1,UBR3,TRAF3IP3,PDE4DIP,PBXIP1,PFDN2,TMCC2,NCAPH
GALM,APBB2,KAT2B,SP3,ATF3,HIST2H2BF,PYGO2,UFC1,SLC45A3,CNNM3-DT
SLC8A1,SPATA18,AZI2,WIPF1,TATDN3,HIST2H3D,EFNA3,PPOX,RAB7B,ANKRD36
PELI1,SNCA-AS1,STAC,NFE2L2,AIDA,HIST2H4A,EFNA1,CFAP126,RHEX,IL18R1
TGFA,ANK2,SLC22A13,SESTD1,FBXO28,HIST2H2AA3,SLC50A1,MPZL1,DYRK3,PANTR1
DYSF,RNF175,CTNNB1,HECW2,DEGS1,HIST2H2BE,DPM3,MPC2,HHAT,BUB1
SPR,CPE,ZBTB47,ANKRD44,LBR,RPRD2,KRTCAP2,ATP1B1,INTS7,CKAP2L
RAB11FIP5,HMGB2,ZDHHC3,FAM126B,ITPKB-IT1,SETDB1,FAM189B,NME7,NENF,DPP10
POLE4,NIM1K,NBEAL2,CFLAR,PSEN2,PRUNE1,SCAMP3,BLZF1,RRP15,STEAP3
TCF7L1,GZMA,DAG1,FAM117B,ARF1,BNIPL,RUSC1,METTL18,LYPLAL1-DT,SMPD4
THNSL2,ANKRD55,DUSP7,KLF7,GUK1,MLLT11,DAP3,KIFAP3,EPRS,MZT2A
SEMA4C,RNF180,PPM1M,CCNYL1,IBA57-DT,PIP5K1A,KHDC4,EEF1AKNMT,DUSP10,CCDC74A
TBC1D8,MARVELD2,MUSTN1,PLEKHM3,FAM89A,PSMD4,SSR2,DNM3,TAF1A,C2orf27A
IL1R2,ARHGEF28,PRKCD,DIRC3,EXOC8,ZNF687,LAMTOR2,C1orf220,CNIH3,MCM6
SEPTIN10,GCNT4,TKT,TMBIM1,EGLN1,RFX5,PMF1,ANGPTL1,MIXL1,KIF5C
SOWAHC,MTX3,ARHGEF3,CTDSP1,DISC1,PSMB4,BGLAP,LHX4,PARP1,DAPL1
BCL2L11,THBS4,ABHD6,GLB1L,DISC1-IT1,SNAPIN,PAQR6,TPR,COQ8A,SPC25
NT5DC4,FBXL17,KCTD6,DNAJB2,COA6-AS1,INTS3,PRCC,B3GALT2,JMJD4,METAP1D
IL1RN,TSLP,PROS1,GMPPA,COA6,GATAD2B,PEAR1,TMEM9,NUP133,RAPGEF4
PAX8,EPB41L4A,ATG3,ACSL3,AKT3-IT1,JTB,FCER1A,IPO9,URB2,CDCA7
MARCO,LMNB1,ATP6V1A,IRS1,SH3BP5L,C1orf43,DUSP23,LAX1,NTPCR,ZNF385B
TFCP2L1,P4HA2,ZBTB20-AS5,EIF4E2,GRHL1,HAX1,IGSF9,MFSD4A,TARBP1,DNAH7
CXCR4,SEPTIN8,ADPRH,DGKD,HPCAL1,IL6R-AS1,PIGM,EIF2D,IRF2BP2,CCDC150
HNMT,PITX1,SLC49A4,ARL4C,RN7SL832P,THBS3,KLHDC9,CD34,TOMM20,PGAP1
ZEB2,DCANP1,CHST13,LRRFIP1,LAPTM4A,CLK2,B4GALT3,C1orf74,RBM34,HSPD1
ZEB2-AS1,TIFAB,RAB43,RBM44,ATAD2B,RUSC1-AS1,PCP4L1,UTP25,B3GALNT2,HSPE1
TNFAIP6,CXCL14,PXYLP1,UBE2F,TP53I3,ASH1L,DUSP12,TRAF5,EDARADD,MARS2
FMNL2,ECSCR,DIPK2A,ASB1,ITSN2,GON4L,NOS1AP,FLVCR1,HEATR1,SGO2
NR4A2,PCDHA10,MBNL1-AS1,DUSP28,ASXL2,ISG20L2,C1orf226,VASH2,MTR,TMEM237
DHRS9,PDGFRB,RAP2B,RNPEPL1,TMEM214,VSIG8,HSD17B7,SMYD2,CHRM3-AS2,KIAA2012
PLCL1,C1QTNF2,TIPARP,SNED1,ZNF513,CFAP45,RGS5,KCTD3,CHML,NOP58
SATB2,WWC1,SKIL,FARP2,SLC4A1AP,TAGLN2,MGST3,SPATA17,HNRNPU,WDR12
RAPH1,SIMC1,FNDC3B,SUMF1,SPAST,DCAF8,GPA33,TAF1A-AS1,ZNF670,BARD1
MYOSLID,PPP1R3G,TNFSF10,ARL8B,YIPF4,PEX19,CD247,DISP1,ZNF496,ATIC
FN1,SLC26A8,ACAP2-IT1,MTMR14,FEZ2,CD244,TIPRL,NVL,OR2T8,IGFBP2
PECR,FOXP4-AS1,TNK2-AS1,ARPC4,PRKCE,F11R,CCDC181,ENAH,OR2L13,SGPP2
TMEM169,TRERF1,SH3BP2,IRAK2,ATP6V1E2,NIT1,PIGC,SRP9,ZNF692,FARSB
CXCR2,CRIP3,FBXL5,TIMP4,FBXO11,USP21,TNFSF4,PYCR2,SH3YL1,NCL
CXCR1,C6orf223,FAM200B,RAF1,PPP1R21,NDUFS2,MRPS14,ZNF678,TMEM18,PTMA
GPBAR1,BVES,RBPJ,SH3BP5-AS1,RTN4,MPZ,RGS16,C1orf35,PXDN,HJURP
CATIP,BVES-AS1,RELL1,SH3BP5,CCDC88A,SDHC,PACERR,MRPL55,RNASEH1,GPC1
SLC11A1,SOBP,PTTG2,DPH3,VPS54,TMCO1,GLRX2,OBSCN-AS1,RNASEH1-AS1,PASK
TTLL4,MICAL1,TLR1,PLCL2,PPP3R1,TMCO1-AS1,CFH,OBSCN,RPS7,ANO7
CYP27A1,NKAIN2,TLR6,EFHB,FBXO48,POGK,DDX59-AS1,RAB4A,RNF144A,DTYMK
SPEGNB,ADGRG6,SMIM14,RAB5A,ANXA4,DCAF6,KIF21B,ARV1,MBOAT2,IL5RA
SCG2,LRP11,TMEM33,SGO1-AS1,PCYOX1,GPR161,PHLDA3,MAP10,CPSF3,RAD18
